crop,season,district,year,selling_price_range,selling_location,industry_name
urad,kharif,jogulamba gadwal,2023,3736–4492 ₹/quintal,local market,telangana agri exports
soybean,kharif,nalgonda,2020,4453–4969 ₹/quintal,nearest mandi,telangana agri exports
bajra,kharif,hyderabad,2021,2032–2833 ₹/quintal,nearest mandi,krishi produce ltd
pulses,kharif,mancherial,2022,3768–4691 ₹/quintal,nearest mandi,krishi produce ltd
muskmelon,zaid,nizamabad,2024,4336–4826 ₹/quintal,industry buyer,rural farmers hub
arhar,kharif,karimnagar,2020,3289–4054 ₹/quintal,local market,deccan agri trading
garlic,rabi,warangal urban,2022,2695–3484 ₹/quintal,nearest mandi,mandi connect ltd
cumin,rabi,siddipet,2021,2691–4147 ₹/quintal,local market,green harvest corp
wheat,rabi,mahabubnagar,2020,1937–2714 ₹/quintal,industry buyer,bharat agro mills
cotton,kharif,jogulamba gadwal,2020,6230–6553 ₹/quintal,local market,deccan agri trading
mustard,rabi,kumuram bheem asifabad,2020,3168–4289 ₹/quintal,nearest mandi,bharat agro mills
tea,kharif,mancherial,2023,4043–5139 ₹/quintal,local market,krishi produce ltd
gram,rabi,siddipet,2021,4611–4841 ₹/quintal,nearest mandi,telangana agri exports
spices,rabi,nagarkurnool,2022,4246–4644 ₹/quintal,local market,krishi produce ltd
groundnut,kharif,nagarkurnool,2020,4358–5356 ₹/quintal,local market,deccan agri trading
chilli,kharif,siddipet,2022,7172–8134 ₹/quintal,nearest mandi,bharat agro mills
potato,rabi,mahabubabad,2020,892–1870 ₹/quintal,local market,agro industries ltd
lemon,kharif,yadadri bhuvanagiri,2023,3514–4270 ₹/quintal,local market,bharat agro mills
lychee,kharif,medak,2022,4020–5383 ₹/quintal,local market,agro industries ltd
onion,kharif,nalgonda,2023,1381–2271 ₹/quintal,nearest mandi,krishi produce ltd
rice,kharif,wanaparthy,2024,2192–3350 ₹/quintal,industry buyer,bharat agro mills
bajra,kharif,mulugu,2022,4081–4322 ₹/quintal,industry buyer,agro industries ltd
arhar,kharif,warangal urban,2022,3927–5212 ₹/quintal,local market,bharat agro mills
cinnamon,kharif,mahabubnagar,2023,3522–3966 ₹/quintal,nearest mandi,telangana agri exports
lychee,kharif,jangaon,2024,3689–5037 ₹/quintal,local market,deccan agri trading
sunflower,zaid,nagarkurnool,2022,3048–4339 ₹/quintal,industry buyer,telangana agri exports
gram,rabi,khammam,2021,4404–5260 ₹/quintal,local market,bharat agro mills
jowar,rabi,medchal–malkajgiri,2020,2815–4167 ₹/quintal,nearest mandi,deccan agri trading
lemon,kharif,kamareddy,2022,3433–4751 ₹/quintal,industry buyer,rural farmers hub
potato,rabi,wanaparthy,2020,991–1741 ₹/quintal,industry buyer,telangana agri exports
grapes,rabi,bhadradri kothagudem,2020,2670–3524 ₹/quintal,industry buyer,krishi produce ltd
pulses,kharif,rangareddy,2023,4650–5503 ₹/quintal,industry buyer,agro industries ltd
barley,rabi,vikarabad,2022,1921–2300 ₹/quintal,industry buyer,green harvest corp
hemp,kharif,nagarkurnool,2024,2671–2986 ₹/quintal,local market,green harvest corp
millets,kharif,nalgonda,2022,3527–4957 ₹/quintal,local market,mandi connect ltd
wheat,rabi,nizamabad,2023,2152–3103 ₹/quintal,nearest mandi,krishi produce ltd
ragi,kharif,kamareddy,2020,3859–4908 ₹/quintal,local market,rural farmers hub
hemp,kharif,siddipet,2022,3246–4588 ₹/quintal,industry buyer,telangana agri exports
okra,kharif,nalgonda,2024,3460–4056 ₹/quintal,local market,rural farmers hub
coffee,kharif,peddapalli,2023,4422–4801 ₹/quintal,industry buyer,mandi connect ltd
tea,kharif,nagarkurnool,2023,4013–4732 ₹/quintal,industry buyer,telangana agri exports
mango,kharif,suryapet,2024,4340–5345 ₹/quintal,industry buyer,telangana agri exports
sapota,kharif,warangal rural,2020,3660–4912 ₹/quintal,nearest mandi,krishi produce ltd
cumin,rabi,jagtial,2020,3820–4055 ₹/quintal,industry buyer,bharat agro mills
bottle gourd,kharif,kumuram bheem asifabad,2020,2950–4050 ₹/quintal,nearest mandi,rural farmers hub
millets,kharif,mahabubnagar,2023,3940–5380 ₹/quintal,local market,green harvest corp
watermelon,zaid,mancherial,2020,4405–5322 ₹/quintal,nearest mandi,bharat agro mills
cabbage,rabi,nalgonda,2020,2734–3935 ₹/quintal,industry buyer,rural farmers hub
soybean,kharif,warangal rural,2022,4255–5703 ₹/quintal,nearest mandi,green harvest corp
orange,kharif,khammam,2021,3400–4339 ₹/quintal,industry buyer,rural farmers hub
coriander,rabi,nirmal,2024,3256–3578 ₹/quintal,nearest mandi,telangana agri exports
orange,kharif,nalgonda,2024,2772–3398 ₹/quintal,nearest mandi,green harvest corp
peach,rabi,warangal urban,2020,2915–3362 ₹/quintal,local market,krishi produce ltd
watermelon,zaid,mancherial,2022,5231–5724 ₹/quintal,industry buyer,agro industries ltd
sunflower,rabi,mulugu,2023,4500–5397 ₹/quintal,local market,deccan agri trading
brinjal,rabi,kumuram bheem asifabad,2023,4226–5050 ₹/quintal,local market,mandi connect ltd
groundnut,kharif,jangaon,2022,4586–4893 ₹/quintal,industry buyer,telangana agri exports
gram,rabi,rajanna sircilla,2022,2952–4254 ₹/quintal,local market,green harvest corp
maize,rabi,medchal–malkajgiri,2020,2008–2267 ₹/quintal,local market,telangana agri exports
urad,kharif,khammam,2022,4511–5810 ₹/quintal,local market,telangana agri exports
hemp,kharif,nirmal,2020,3580–3890 ₹/quintal,local market,bharat agro mills
cucumber,zaid,rajanna sircilla,2022,4165–5111 ₹/quintal,nearest mandi,agro industries ltd
cauliflower,rabi,karimnagar,2021,2871–3096 ₹/quintal,local market,green harvest corp
onion,rabi,rajanna sircilla,2022,2092–3364 ₹/quintal,nearest mandi,telangana agri exports
arhar,kharif,adilabad,2022,3092–3322 ₹/quintal,local market,green harvest corp
mango,kharif,suryapet,2023,3683–3926 ₹/quintal,nearest mandi,deccan agri trading
sugarcane,kharif,warangal urban,2020,2877–4183 ₹/quintal,local market,deccan agri trading
potato,rabi,adilabad,2021,1177–2369 ₹/quintal,industry buyer,telangana agri exports
carrot,rabi,jayashankar bhupalpally,2021,2476–3916 ₹/quintal,industry buyer,rural farmers hub
millets,kharif,mahabubabad,2022,4242–5430 ₹/quintal,local market,rural farmers hub
potato,rabi,hyderabad,2020,973–1850 ₹/quintal,industry buyer,krishi produce ltd
muskmelon,zaid,karimnagar,2020,2439–3313 ₹/quintal,nearest mandi,krishi produce ltd
pomegranate,kharif,medak,2023,2994–4423 ₹/quintal,local market,bharat agro mills
pulses,rabi,jayashankar bhupalpally,2021,3684–4434 ₹/quintal,nearest mandi,rural farmers hub
plum,rabi,rajanna sircilla,2020,3125–4559 ₹/quintal,nearest mandi,bharat agro mills
mustard,rabi,khammam,2024,4531–4972 ₹/quintal,nearest mandi,green harvest corp
pumpkin,kharif,mancherial,2024,3053–4457 ₹/quintal,nearest mandi,telangana agri exports
sugarcane,kharif,medak,2022,2999–4284 ₹/quintal,nearest mandi,rural farmers hub
jute,kharif,yadadri bhuvanagiri,2020,3787–4774 ₹/quintal,industry buyer,bharat agro mills
plum,rabi,rangareddy,2024,3063–4362 ₹/quintal,industry buyer,krishi produce ltd
groundnut,kharif,nizamabad,2021,4578–5794 ₹/quintal,industry buyer,bharat agro mills
garlic,rabi,nalgonda,2024,3312–3778 ₹/quintal,local market,deccan agri trading
maize,rabi,rangareddy,2021,1715–3127 ₹/quintal,local market,agro industries ltd
sunflower,rabi,jangaon,2021,2652–3827 ₹/quintal,industry buyer,green harvest corp
urad,kharif,kumuram bheem asifabad,2022,3418–3819 ₹/quintal,local market,green harvest corp
barley,rabi,kamareddy,2020,3948–4375 ₹/quintal,nearest mandi,agro industries ltd
watermelon,zaid,medak,2022,3572–4001 ₹/quintal,nearest mandi,mandi connect ltd
banana,rabi,wanaparthy,2024,3050–3399 ₹/quintal,nearest mandi,green harvest corp
muskmelon,zaid,hyderabad,2022,3312–3926 ₹/quintal,nearest mandi,krishi produce ltd
cinnamon,kharif,suryapet,2020,3033–3526 ₹/quintal,local market,telangana agri exports
cumin,rabi,mancherial,2022,4758–5967 ₹/quintal,industry buyer,agro industries ltd
bitter gourd,kharif,medchal–malkajgiri,2023,2692–3351 ₹/quintal,local market,deccan agri trading
pomegranate,kharif,mahabubabad,2022,3739–4606 ₹/quintal,local market,green harvest corp
onion,zaid,warangal urban,2020,2365–2959 ₹/quintal,nearest mandi,deccan agri trading
lentil,rabi,warangal rural,2023,2604–3189 ₹/quintal,nearest mandi,deccan agri trading
coriander,rabi,yadadri bhuvanagiri,2022,3003–3684 ₹/quintal,industry buyer,rural farmers hub
cotton,kharif,mahabubabad,2021,6393–7768 ₹/quintal,local market,krishi produce ltd
grapes,rabi,rajanna sircilla,2020,3330–4018 ₹/quintal,local market,green harvest corp
rubber,kharif,kamareddy,2024,2894–4182 ₹/quintal,industry buyer,bharat agro mills
urad,kharif,nalgonda,2022,2388–3370 ₹/quintal,nearest mandi,mandi connect ltd
lychee,kharif,nirmal,2022,3020–3438 ₹/quintal,local market,deccan agri trading
tomato,rabi,hyderabad,2021,1608–2093 ₹/quintal,nearest mandi,telangana agri exports
mustard,rabi,mulugu,2020,4516–5974 ₹/quintal,nearest mandi,krishi produce ltd
moong,kharif,warangal urban,2022,3590–4272 ₹/quintal,industry buyer,agro industries ltd
cinnamon,kharif,mahabubabad,2024,3336–4019 ₹/quintal,local market,agro industries ltd
arhar,kharif,mancherial,2023,4153–5637 ₹/quintal,local market,deccan agri trading
cardamom,kharif,jogulamba gadwal,2024,2780–4227 ₹/quintal,local market,krishi produce ltd
coffee,kharif,jangaon,2022,3049–4440 ₹/quintal,nearest mandi,telangana agri exports
jowar,rabi,kumuram bheem asifabad,2020,3077–4420 ₹/quintal,local market,telangana agri exports
saffron,rabi,siddipet,2020,3083–3790 ₹/quintal,industry buyer,krishi produce ltd
lychee,kharif,kamareddy,2024,3343–3777 ₹/quintal,nearest mandi,deccan agri trading
sugarcane,kharif,kumuram bheem asifabad,2021,2830–3134 ₹/quintal,nearest mandi,agro industries ltd
brinjal,kharif,mancherial,2023,2910–3350 ₹/quintal,nearest mandi,bharat agro mills
urad,kharif,jagtial,2023,3887–5060 ₹/quintal,industry buyer,mandi connect ltd
gram,rabi,nizamabad,2022,4124–4610 ₹/quintal,nearest mandi,green harvest corp
ridge gourd,kharif,medchal–malkajgiri,2021,4006–5221 ₹/quintal,local market,deccan agri trading
tomato,zaid,nirmal,2022,1242–2059 ₹/quintal,nearest mandi,mandi connect ltd
peach,rabi,peddapalli,2022,2975–3654 ₹/quintal,nearest mandi,green harvest corp
grapes,rabi,nagarkurnool,2020,2663–3067 ₹/quintal,nearest mandi,krishi produce ltd
chilli,rabi,medchal–malkajgiri,2021,7206–8299 ₹/quintal,industry buyer,agro industries ltd
orange,kharif,mulugu,2022,3474–4573 ₹/quintal,nearest mandi,deccan agri trading
coriander,rabi,mancherial,2020,2523–3589 ₹/quintal,nearest mandi,green harvest corp
lychee,kharif,rangareddy,2024,3666–4142 ₹/quintal,nearest mandi,telangana agri exports
pomegranate,kharif,sangareddy,2023,3823–5287 ₹/quintal,nearest mandi,deccan agri trading
watermelon,zaid,peddapalli,2022,2260–2484 ₹/quintal,local market,green harvest corp
bottle gourd,kharif,warangal rural,2022,3346–4775 ₹/quintal,industry buyer,rural farmers hub
pulses,kharif,kamareddy,2022,3769–4529 ₹/quintal,nearest mandi,mandi connect ltd
ridge gourd,kharif,nizamabad,2022,2939–4409 ₹/quintal,industry buyer,telangana agri exports
moong,kharif,siddipet,2024,3794–4501 ₹/quintal,industry buyer,mandi connect ltd
grapes,rabi,jangaon,2020,4853–5207 ₹/quintal,nearest mandi,telangana agri exports
barley,rabi,yadadri bhuvanagiri,2023,4741–5560 ₹/quintal,local market,deccan agri trading
lychee,kharif,medchal–malkajgiri,2022,5102–5936 ₹/quintal,industry buyer,deccan agri trading
coffee,kharif,wanaparthy,2020,3936–4204 ₹/quintal,nearest mandi,agro industries ltd
urad,kharif,mahabubabad,2023,2861–3989 ₹/quintal,nearest mandi,agro industries ltd
guava,kharif,nizamabad,2020,3580–4503 ₹/quintal,local market,rural farmers hub
ragi,kharif,warangal urban,2022,2662–3472 ₹/quintal,nearest mandi,telangana agri exports
brinjal,kharif,bhadradri kothagudem,2023,2782–4152 ₹/quintal,local market,bharat agro mills
saffron,rabi,warangal rural,2021,4354–5048 ₹/quintal,local market,agro industries ltd
maize,kharif,medchal–malkajgiri,2022,1937–2807 ₹/quintal,local market,krishi produce ltd
beetroot,rabi,jagtial,2022,3086–3617 ₹/quintal,nearest mandi,mandi connect ltd
carrot,rabi,mancherial,2020,2842–3875 ₹/quintal,industry buyer,telangana agri exports
urad,kharif,mahabubabad,2022,3392–4890 ₹/quintal,nearest mandi,mandi connect ltd
cucumber,zaid,jogulamba gadwal,2023,3375–4305 ₹/quintal,local market,rural farmers hub
mustard,rabi,jangaon,2024,3028–4488 ₹/quintal,local market,telangana agri exports
peach,rabi,kumuram bheem asifabad,2021,3720–4373 ₹/quintal,nearest mandi,mandi connect ltd
lentil,rabi,bhadradri kothagudem,2020,4459–4660 ₹/quintal,nearest mandi,rural farmers hub
tea,kharif,jagtial,2024,4083–4365 ₹/quintal,industry buyer,mandi connect ltd
barley,rabi,medak,2020,3348–3558 ₹/quintal,local market,krishi produce ltd
muskmelon,zaid,rajanna sircilla,2024,2569–2871 ₹/quintal,nearest mandi,krishi produce ltd
pomegranate,kharif,mahabubabad,2022,3474–4341 ₹/quintal,nearest mandi,rural farmers hub
ridge gourd,kharif,bhadradri kothagudem,2020,4678–5496 ₹/quintal,industry buyer,bharat agro mills
wheat,rabi,jogulamba gadwal,2020,2033–3474 ₹/quintal,industry buyer,telangana agri exports
jute,kharif,karimnagar,2021,3133–4258 ₹/quintal,nearest mandi,agro industries ltd
mango,kharif,bhadradri kothagudem,2020,3541–4772 ₹/quintal,industry buyer,bharat agro mills
spices,zaid,mahabubnagar,2024,3582–4166 ₹/quintal,nearest mandi,mandi connect ltd
lentil,rabi,nalgonda,2024,2241–3225 ₹/quintal,industry buyer,mandi connect ltd
garlic,rabi,nagarkurnool,2020,3576–4517 ₹/quintal,nearest mandi,bharat agro mills
watermelon,zaid,siddipet,2022,3363–4057 ₹/quintal,industry buyer,krishi produce ltd
lentil,rabi,jayashankar bhupalpally,2020,3187–3851 ₹/quintal,industry buyer,krishi produce ltd
cumin,rabi,rangareddy,2022,3304–4500 ₹/quintal,local market,rural farmers hub
okra,kharif,jangaon,2020,3791–4546 ₹/quintal,local market,green harvest corp
cotton,kharif,bhadradri kothagudem,2024,5488–6939 ₹/quintal,industry buyer,deccan agri trading
cumin,rabi,nirmal,2020,3497–4260 ₹/quintal,nearest mandi,deccan agri trading
turmeric,kharif,jangaon,2022,7521–7923 ₹/quintal,nearest mandi,telangana agri exports
spices,zaid,suryapet,2024,3216–3862 ₹/quintal,nearest mandi,rural farmers hub
onion,kharif,mahabubabad,2023,2107–3282 ₹/quintal,industry buyer,mandi connect ltd
lychee,kharif,nizamabad,2024,2761–3694 ₹/quintal,industry buyer,krishi produce ltd
moong,kharif,hyderabad,2020,3061–3448 ₹/quintal,nearest mandi,krishi produce ltd
onion,rabi,nizamabad,2024,2269–2665 ₹/quintal,local market,rural farmers hub
millets,kharif,jangaon,2024,4957–5889 ₹/quintal,industry buyer,rural farmers hub
bajra,kharif,wanaparthy,2020,3465–4882 ₹/quintal,local market,rural farmers hub
sugarcane,kharif,jagtial,2023,3178–4502 ₹/quintal,industry buyer,telangana agri exports
cabbage,rabi,vikarabad,2022,3642–4835 ₹/quintal,local market,green harvest corp
mango,kharif,adilabad,2021,3359–3749 ₹/quintal,local market,krishi produce ltd
gram,rabi,jayashankar bhupalpally,2021,3136–3692 ₹/quintal,industry buyer,krishi produce ltd
grapes,rabi,kumuram bheem asifabad,2020,3697–5075 ₹/quintal,local market,mandi connect ltd
rubber,kharif,warangal urban,2022,2623–3170 ₹/quintal,local market,agro industries ltd
ridge gourd,kharif,hyderabad,2020,4327–5430 ₹/quintal,nearest mandi,deccan agri trading
cotton,kharif,sangareddy,2022,5204–5641 ₹/quintal,nearest mandi,rural farmers hub
cucumber,zaid,yadadri bhuvanagiri,2023,5170–5766 ₹/quintal,local market,green harvest corp
watermelon,zaid,adilabad,2024,3998–5431 ₹/quintal,nearest mandi,bharat agro mills
clove,kharif,jayashankar bhupalpally,2020,4277–4503 ₹/quintal,industry buyer,agro industries ltd
groundnut,kharif,jagtial,2022,3881–4771 ₹/quintal,industry buyer,deccan agri trading
pumpkin,kharif,kumuram bheem asifabad,2021,2750–4104 ₹/quintal,local market,mandi connect ltd
sesame,kharif,kumuram bheem asifabad,2020,3970–4327 ₹/quintal,nearest mandi,rural farmers hub
cabbage,rabi,kamareddy,2022,3416–4814 ₹/quintal,local market,rural farmers hub
soybean,kharif,bhadradri kothagudem,2022,3923–4497 ₹/quintal,nearest mandi,deccan agri trading
millets,kharif,warangal urban,2024,5290–5567 ₹/quintal,local market,mandi connect ltd
mango,kharif,khammam,2021,3530–4068 ₹/quintal,industry buyer,telangana agri exports
coriander,rabi,nirmal,2020,3684–4146 ₹/quintal,nearest mandi,green harvest corp
ragi,kharif,sangareddy,2024,3160–3727 ₹/quintal,nearest mandi,bharat agro mills
pulses,kharif,vikarabad,2024,3713–5005 ₹/quintal,industry buyer,krishi produce ltd
jowar,kharif,mahabubnagar,2024,2069–3351 ₹/quintal,local market,bharat agro mills
bottle gourd,kharif,rajanna sircilla,2020,2897–3279 ₹/quintal,industry buyer,rural farmers hub
tea,kharif,vikarabad,2021,3153–4183 ₹/quintal,local market,deccan agri trading
carrot,rabi,karimnagar,2022,2931–3484 ₹/quintal,local market,mandi connect ltd
cabbage,rabi,mulugu,2024,2810–4243 ₹/quintal,industry buyer,agro industries ltd
cucumber,zaid,suryapet,2021,2896–3942 ₹/quintal,nearest mandi,telangana agri exports
cauliflower,rabi,bhadradri kothagudem,2024,2875–3719 ₹/quintal,nearest mandi,rural farmers hub
pulses,rabi,nalgonda,2021,4433–5589 ₹/quintal,industry buyer,deccan agri trading
gram,rabi,yadadri bhuvanagiri,2023,2264–3478 ₹/quintal,industry buyer,rural farmers hub
sesame,kharif,medchal–malkajgiri,2021,4409–4731 ₹/quintal,local market,bharat agro mills
watermelon,zaid,mulugu,2020,4053–5201 ₹/quintal,local market,mandi connect ltd
mango,kharif,medchal–malkajgiri,2022,3063–4341 ₹/quintal,nearest mandi,telangana agri exports
arhar,kharif,nirmal,2022,2282–3082 ₹/quintal,local market,deccan agri trading
cardamom,kharif,jogulamba gadwal,2020,3938–5324 ₹/quintal,industry buyer,mandi connect ltd
sesame,kharif,suryapet,2024,3392–4009 ₹/quintal,industry buyer,bharat agro mills
brinjal,rabi,mancherial,2024,2288–3299 ₹/quintal,local market,agro industries ltd
plum,rabi,bhadradri kothagudem,2024,2922–3459 ₹/quintal,nearest mandi,agro industries ltd
cabbage,rabi,rajanna sircilla,2020,2929–3698 ₹/quintal,local market,telangana agri exports
